Name,Gender,Price,Sale Price,Colors,Item Link,Image Link,Subcategory,Store
Leather Toiletry Bag,men,$39.99,N/A,Dark brown||Black,https://www2.hm.com/en_ca/productpage.0721176007.html,"https://lp2.hm.com/hmgoepprod?set=source[/2d/8c/2d8caedb8bddd54973f8b6888522134d2e6a2a58.jpg],origin[dam],category[men_accessories_other],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",bag,H&M
Printed Shoulder Bag,men,$19.99,N/A,Black/Rick and Morty,https://www2.hm.com/en_ca/productpage.0930977001.html,"https://lp2.hm.com/hmgoepprod?set=source[/08/29/0829a79ac79ccd34aadf252fb1baab0620dcf02b.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",bag,H&M
Weekend Bag,men,$59.99,N/A,Black/crocodile-patterned,https://www2.hm.com/en_ca/productpage.0723694003.html,"https://lp2.hm.com/hmgoepprod?set=source[/62/d1/62d1059f6bf4819e1d695f117955b59603153198.jpg],origin[dam],category[men_bags],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",bag,H&M
Leather Toiletry Bag,men,$39.99,N/A,Black||Dark brown,https://www2.hm.com/en_ca/productpage.0721176006.html,"https://lp2.hm.com/hmgoepprod?set=source[/b5/04/b504aa54787a5f2efdb3f290323c498e9b7f0485.jpg],origin[dam],category[men_accessories_other],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",bag,H&M
Backpack,men,$39.99,N/A,Black||Dark blue,https://www2.hm.com/en_ca/productpage.0938013002.html,"https://lp2.hm.com/hmgoepprod?set=source[/ba/52/ba5212bb590828d446e67c19bd6dcb6b892a2093.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",backpack,H&M
Backpack,men,$39.99,N/A,Dark blue||Black,https://www2.hm.com/en_ca/productpage.0938013001.html,"https://lp2.hm.com/hmgoepprod?set=source[/09/5f/095ff65112eb2a2ba0aa618fe72f8507b8055499.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",backpack,H&M
Cotton Canvas Bag,men,$34.99,N/A,Black/Rick and Morty,https://www2.hm.com/en_ca/productpage.0927071001.html,"https://lp2.hm.com/hmgoepprod?set=source[/a8/37/a837e02036a3d79a0c2013b0fc78a60ba67a6369.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",bag,H&M
Cap with Printed Design,men,$14.99,$5.99,Red/white,https://www2.hm.com/en_ca/productpage.0776950001.html,"https://lp2.hm.com/hmgoepprod?set=source[/3d/bf/3dbf2dc2d94c6dd475c8e8c34e31c535fbf53ee0.jpg],origin[dam],category[men_accessories_hatscaps],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",cap,H&M
Nike SNKR Sox Crew Socks (2 Pairs),Unisex,$22.00,N/A,Multi-Colour, https://www.nike.com/ca/t/snkr-sox-crew-socks-8prSr5/DA8983-901, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/76a4e3d6-d798-4ed7-a1b6-905eb6c31f90/snkr-sox-crew-socks-8prSr5.jpg,Socks,Nike
Nike Everyday Lightweight Training Ankle Socks (3 Pairs),Unisex,$18.00,N/A,White/Black || Multi-Colour, https://www.nike.com/ca/t/everyday-lightweight-training-ankle-socks-JmdmrC/SX7677-100, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/ufdkp0ukknqv4b9zfqby/everyday-lightweight-training-ankle-socks-JmdmrC.jpg,Socks,Nike
