Name,Gender,Price,Sale Price,Colors,Item Link,Image Link,Subcategory,Store
Chelsea F.C. Strike Men's Knit Football Track Jacket,Men,$95.00,N/A,Cobalt Tint/Cobalt Tint/Rush Blue/Rush Blue || Rush Blue/Rush Blue/Cobalt Tint/Cobalt Tint, https://www.nike.com/ca/t/chelsea-fc-strike-knit-football-track-jacket-VRrvCN/CD4983-495, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/4ed00c3b-e446-445b-b17f-1fdac3cd74cc/chelsea-fc-strike-knit-football-track-jacket-VRrvCN.jpg,Jacket,Nike
Nike Sportswear Men's Tracksuit,Men,$110.00,N/A,Midnight Navy/White/White, https://www.nike.com/ca/t/sportswear-tracksuit-wlQ31W/BV3034-410, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/c99glw22bv8cug54jobc/sportswear-tracksuit-wlQ31W.jpg,Tracksuit,Nike
Liverpool F.C. Men's Football Tracksuit Jacket,Men,$130.00,N/A,Gym Red/White/White, https://www.nike.com/ca/t/liverpool-fc-football-track-jacket-C837lk/CZ2778-687, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/73e9d429-70e7-4b13-8cbb-f52452dde94e/liverpool-fc-football-track-jacket-C837lk.jpg,Jacket,Nike
Nike Dri-FIT Men's Full-Zip Yoga Training Hoodie,Men,$95.00,N/A,Black/Heather/Black || Claystone Red/Heather/Black || Gunsmoke/Heather/Black, https://www.nike.com/ca/t/dri-fit-yoga-training-hoodie-36QR3C/BQ2864-032, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/kuatyy48zuwol1k8ekzt/dri-fit-yoga-training-hoodie-36QR3C.jpg,Hoodie,Nike
Giannis Men's Track Jacket,Men,$150.00,N/A,Black/White/Light Solar Flare Heather/White, https://www.nike.com/ca/t/giannis-tracksuit-jacket-0N8d4l/CK6245-010, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/23e2d225-fb06-48f4-82f0-b8bcb99a639f/giannis-tracksuit-jacket-0N8d4l.jpg,Jacket,Nike
Nike Sportswear Tech Essentials Men's Repel Hooded Jacket,Men,$195.00,N/A,Light Bone || Sequoia || Black/Black/Black, https://www.nike.com/ca/t/sportswear-tech-essentials-repel-hooded-jacket-5bc30h/CU4485-072, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/71f5e58e-3403-4cd0-876c-681a8d351745/sportswear-tech-essentials-repel-hooded-jacket-5bc30h.jpg,Jacket,Nike
Paris Saint-Germain Men's Varsity Jacket,Men,$305.00,N/A,Black/Bordeaux/Metallic Gold/White, https://www.nike.com/ca/t/paris-saint-germain-varsity-jacket-3X0Dj5/CK9665-010, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/113287d3-38ab-4f42-8991-898bb8c8571b/paris-saint-germain-varsity-jacket-3X0Dj5.jpg,Jacket,Nike
Nike Dri-FIT Men's Yoga Trousers,Men,$80.00,N/A,Black/Heather/Black || Gunsmoke/Heather/Black, https://www.nike.com/ca/t/dri-fit-yoga-trousers-k6fVxt/AT5696-032, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/9b5c3840-fa5c-414b-9590-4d3f6721b192/dri-fit-yoga-trousers-k6fVxt.jpg,Trousers,Nike
Nike Dri-FIT Men's Fleece Training Trousers,Men,$68.00,N/A,Dark Grey Heather/Black, https://www.nike.com/ca/t/dri-fit-fleece-training-trousers-H7cCVx/CJ4312-063, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/i1-4d5afa5c-f03c-4a04-aedb-43ea18c873ed/dri-fit-fleece-training-trousers-H7cCVx.jpg,Trousers,Nike
FFF Men's Football Jumpsuit,Men,$215.00,N/A,Dark Obsidian/Dark Obsidian/Dark Obsidian, https://www.nike.com/ca/t/fff-football-jumpsuit-qklcRJ/CI8337-475, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/e5bec95f-c274-4c67-ae27-87c7d38964d4/fff-football-jumpsuit-qklcRJ.jpg,Jumpsuit,Nike
Nike Pro Warm Men's Long-Sleeve Top,Men,$64.00,N/A,Black/White || Iron Grey/Black, https://www.nike.com/ca/t/pro-warm-long-sleeve-top-KMhVx4/CU6740-010, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/7ca78366-4948-4959-8d5d-5150e844e233/pro-warm-long-sleeve-top-KMhVx4.jpg,Top,Nike
Nike Pro Men's Shorts,Men,$30.00,N/A,White/Black || Smoke Grey/Light Smoke Grey/Black || Black/White, https://www.nike.com/ca/t/pro-shorts-H3f82V/BV5635-100, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/aebfvlajs3c9yc3g2ryl/pro-shorts-H3f82V.jpg,Shorts,Nike
Nike Pro Men's Tight-Fit Short-Sleeve Top,Men,$32.00,N/A,Black/White || Galactic Jade/Black || White/Black || Smoke Grey/Light Smoke Grey/Black, https://www.nike.com/ca/t/pro-tight-fit-short-sleeve-top-1CsTV5/BV5631-010, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/ymmkbuemxdja9znu5j1i/pro-tight-fit-short-sleeve-top-1CsTV5.jpg,Top,Nike
Nike Pro Men's 3/4 Basketball Tights,Men,$64.00,N/A,Anthracite/Black || White/Black || Black/Black, https://www.nike.com/ca/t/pro-3-4-basketball-tights-vMtwnf/AT3383-060, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/ij2e5m17a5yg8owyzkvp/pro-3-4-basketball-tights-vMtwnf.jpg,Tights,Nike
Nike Pro Men's Tight-Fit Long-Sleeve Top,Men,$42.00,N/A,White/Black || Game Royal/Black || Galactic Jade/Black || Obsidian/White, https://www.nike.com/ca/t/pro-tight-fit-long-sleeve-top-GCgkjP/BV5588-100, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/cqlbhl3d0txkepbdlcpk/pro-tight-fit-long-sleeve-top-GCgkjP.jpg,Top,Nike
Nike Pro AeroAdapt Men's Long-Sleeve Top,Men,$68.00,N/A,Dune Red/Dune Red, https://www.nike.com/ca/t/pro-aeroadapt-long-sleeve-top-kCGPTB/BV5508-642, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/ihapvwtdtoecq2b3vcrm/pro-aeroadapt-long-sleeve-top-kCGPTB.jpg,Top,Nike
Nike Men's Long-Sleeve Training Top,Men,$84.00,N/A,Sequoia/Celadon/Black, https://www.nike.com/ca/t/long-sleeve-training-top-nZW1mM/CU6741-355, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/d5dc4807-ca8a-4f88-8e93-a1c62d260ee5/long-sleeve-training-top-nZW1mM.jpg,Top,Nike
