Name,Gender,Price,Sale Price,Colors,Item Link,Image Link,Subcategory,Store
Ribbed Hat,women,$12.99,N/A,Light purple||Light beige||Dusty rose||Gray melange,https://www2.hm.com/en_ca/productpage.0816919013.html,"https://lp2.hm.com/hmgoepprod?set=source[/fc/0e/fc0ef98d5a28325d1b512cf548622b66a5027d42.jpg],origin[dam],category[ladies_accessories_hatsscarvesgloves_hats],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",hat,H&M
Ribbed Hat,women,$12.99,N/A,Dusty rose||Light beige||Gray melange||Light purple,https://www2.hm.com/en_ca/productpage.0816919010.html,"https://lp2.hm.com/hmgoepprod?set=source[/56/27/56273998e06424058e904094c297273005d6eb29.jpg],origin[dam],category[ladies_accessories_hatsscarvesgloves_hats],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",hat,H&M
Knit Hat,women,$14.99,N/A,Dark plum purple||Black||Light beige||Beige,https://www2.hm.com/en_ca/productpage.0756099021.html,"https://lp2.hm.com/hmgoepprod?set=source[/b2/d8/b2d801197c7aec6d4ee229cfd83b1814e633da8d.jpg],origin[dam],category[ladies_accessories_hatsscarvesgloves_hats],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",hat,H&M
Knit Hat,women,$14.99,N/A,Light beige||Black||Beige||Powder pink,https://www2.hm.com/en_ca/productpage.0756099005.html,"https://lp2.hm.com/hmgoepprod?set=source[/a2/f6/a2f6552819b919817f54d2ae9187b5ff3a1498fb.jpg],origin[dam],category[ladies_accessories_hatsscarvesgloves_hats],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",hat,H&M
Knit Hat,women,$14.99,N/A,Black||Light beige||Beige||Powder pink,https://www2.hm.com/en_ca/productpage.0756099003.html,"https://lp2.hm.com/hmgoepprod?set=source[/af/af/afaf7f22a5abdee038c0a8c467119e005c7a26b2.jpg],origin[dam],category[ladies_accessories_hatsscarvesgloves_hats],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",hat,H&M
Rib-knit Wool Hat,women,$29.99,N/A,Dark gray melange,https://www2.hm.com/en_ca/productpage.0888124002.html,"https://lp2.hm.com/hmgoepprod?set=source[/78/79/7879672100847e8bce293ed855f1f41227ea7d16.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",hat,H&M
Knit Hat,women,$14.99,N/A,Light gray melange||Black||Light beige||Beige,https://www2.hm.com/en_ca/productpage.0756099018.html,"https://lp2.hm.com/hmgoepprod?set=source[/7b/8d/7b8dd1c5a86667de77bbed3f38ac79d64e045993.jpg],origin[dam],category[ladies_accessories_hatsscarvesgloves_hats],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",hat,H&M
Knit Hat,women,$14.99,N/A,Beige||Black||Light beige||Powder pink,https://www2.hm.com/en_ca/productpage.0756099016.html,"https://lp2.hm.com/hmgoepprod?set=source[/59/ad/59ad691704af38aa8f9cbebe8f7e8ea38f984893.jpg],origin[dam],category[ladies_accessories_hatsscarvesgloves_hats],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",hat,H&M
Printed Bucket Hat,women,$14.99,N/A,N/A,https://www2.hm.com/en_ca/productpage.0894225001.html,"https://lp2.hm.com/hmgoepprod?set=source[/51/cb/51cb19e16c2c02a98b3ca07454a9e334786d006c.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",hat,H&M
Ribbed Hat,women,$12.99,N/A,Light beige||Dusty rose||Gray melange||Light purple,https://www2.hm.com/en_ca/productpage.0816919009.html,"https://lp2.hm.com/hmgoepprod?set=source[/29/d5/29d54b3e10deade13d96b0e826da561dec2a3fa2.jpg],origin[dam],category[ladies_accessories_hatsscarvesgloves_hats],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",hat,H&M
Straw Hat with Grosgrain Band,women,$14.99,N/A,White/black,https://www2.hm.com/en_ca/productpage.0752554003.html,"https://lp2.hm.com/hmgoepprod?set=source[/74/f3/74f39be09c7e8ce2afb8106c97bce0d01ebc45d4.jpg],origin[dam],category[ladies_accessories_hatsscarvesgloves_hats],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",hat,H&M
Straw Hat,women,$19.99,N/A,Light beige,https://www2.hm.com/en_ca/productpage.0836203001.html,"https://lp2.hm.com/hmgoepprod?set=source[/c1/97/c197748e4400852517e82893812dfc45cb73e9fe.jpg],origin[dam],category[ladies_accessories_hats_hats],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",hat,H&M
Rib-knit Hat,women,$12.99,N/A,Light pink||Light gray||Cerise,https://www2.hm.com/en_ca/productpage.0732409049.html,"https://lp2.hm.com/hmgoepprod?set=source[/88/79/8879da8151e5a32c6cf7e8aa34a6c7a3822b00a8.jpg],origin[dam],category[ladies_accessories_hatscarvesgloves],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",hat,H&M
