Name,Gender,Price,Sale Price,Colors,Item Link,Image Link,Subcategory,Store
5-pack Sports Socks,men,$14.99,N/A,Black||White||Black/white/dark gray melange||Black/white,https://www2.hm.com/en_ca/productpage.0861850002.html,"https://lp2.hm.com/hmgoepprod?set=source[/cf/25/cf2507a0a1fecc9d2e30c79f0370d365a8f5dd96.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",socks,H&M
Knit Socks with Pattern,men,$7.99,N/A,Dark blue/penguins,https://www2.hm.com/en_ca/productpage.0701057008.html,"https://lp2.hm.com/hmgoepprod?set=source[/86/df/86df065bc4fff0fc19521728e8026db576d295a7.jpg],origin[dam],category[men_socks],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",socks,H&M
5-pack Sports Socks,men,$14.99,N/A,Black/white/dark gray melange||White||Black||Black/white,https://www2.hm.com/en_ca/productpage.0861850004.html,"https://lp2.hm.com/hmgoepprod?set=source[/ba/7c/ba7c9ed70ecaf4eb878a3be168a295f9520bace8.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",socks,H&M
5-pack Socks,men,$14.99,N/A,Black||Dark blue/blue melange||Burgundy/gray melange,https://www2.hm.com/en_ca/productpage.0452818001.html,"https://lp2.hm.com/hmgoepprod?set=source[/36/2f/362f8050fc09b277c52ac410360a478c2f6f2ec6.jpg],origin[dam],category[men_socks],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",socks,H&M
5-pack Socks,men,$14.99,N/A,Burgundy/gray melange||Black||Dark blue/blue melange,https://www2.hm.com/en_ca/productpage.0452818034.html,"https://lp2.hm.com/hmgoepprod?set=source[/41/9a/419a325e3e7ac2801bba55c77443d3aa53c8b7b7.jpg],origin[dam],category[men_socks],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",socks,H&M
20-pack Socks,men,$39.99,N/A,Black,https://www2.hm.com/en_ca/productpage.0791428001.html,"https://lp2.hm.com/hmgoepprod?set=source[/b1/68/b16838855a3835548d47ecf7a6cba39ae524cb96.jpg],origin[dam],category[men_underwearloungewear_underwear],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",socks,H&M
5-pack Sports Socks,men,$14.99,N/A,N/A,https://www2.hm.com/en_ca/productpage.0892193001.html,"https://lp2.hm.com/hmgoepprod?set=source[/19/38/193818acd2188520b6e0ace8d3e4c4df63f64602.jpg],origin[dam],category[men_socks],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",socks,H&M
7-pack Liner Socks,men,$14.99,N/A,White||Black,https://www2.hm.com/en_ca/productpage.0575347014.html,"https://lp2.hm.com/hmgoepprod?set=source[/71/3d/713d40819b2f8d94f8f4f065e3bf8255a953b72c.jpg],origin[dam],category[men_socks],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",socks,H&M
5-pack Sports Socks,men,$14.99,N/A,N/A,https://www2.hm.com/en_ca/productpage.0892193002.html,"https://lp2.hm.com/hmgoepprod?set=source[/fa/13/fa13117bb149523d9504a19d639f9a568b2c3234.jpg],origin[dam],category[men_socks],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",socks,H&M
Patterned Socks,men,$4.99,N/A,Black/white checked||Blue/Eggs||Black/Spaceship||Dark green/egg,https://www2.hm.com/en_ca/productpage.0783707109.html,"https://lp2.hm.com/hmgoepprod?set=source[/c6/55/c655fc09f06e9447b53b501064aa110559a99754.jpg],origin[dam],category[men_socks],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",socks,H&M
Bamboo-blend Socks,men,$5.99,N/A,Dark gray melange/dotted||Navy blue/patterned||Dark blue/plaid,https://www2.hm.com/en_ca/productpage.0896685002.html,"https://lp2.hm.com/hmgoepprod?set=source[/97/c0/97c0ac0ad1f970f6198794db26c80fee6e3505ea.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",socks,H&M
5-pack Socks,men,$14.99,N/A,Dark blue/blue melange||Black||Burgundy/gray melange,https://www2.hm.com/en_ca/productpage.0452818031.html,"https://lp2.hm.com/hmgoepprod?set=source[/84/1c/841c86c2818f48e74f2a5e562f4021fe737c7b5f.jpg],origin[dam],category[men_socks],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",socks,H&M
5-pack Sports Socks,men,$14.99,N/A,Black/white||White||Black||Black/white/dark gray melange,https://www2.hm.com/en_ca/productpage.0861850006.html,"https://lp2.hm.com/hmgoepprod?set=source[/9c/18/9c189c895c32a12e1225bc940a5c1a04763f696b.jpg],origin[dam],category[men_underwearloungewear_underwear],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",socks,H&M
10-pack Mesh Socks,men,$29.99,N/A,Black,https://www2.hm.com/en_ca/productpage.0852679002.html,"https://lp2.hm.com/hmgoepprod?set=source[/3a/43/3a43ba5235a353bdf2ecae1de236b8edd77d5d89.jpg],origin[dam],category[men_underwearloungewear_underwear],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",socks,H&M
Patterned Socks,men,$4.99,N/A,N/A,https://www2.hm.com/en_ca/productpage.0761018030.html,"https://lp2.hm.com/hmgoepprod?set=source[/4e/aa/4eaa9d46ba407238c12a1c1085d4b38945264f6c.jpg],origin[dam],category[men_underwearloungewear_underwear],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",socks,H&M
5-pack Sports Socks,men,$17.99,N/A,Black,https://www2.hm.com/en_ca/productpage.0861851001.html,"https://lp2.hm.com/hmgoepprod?set=source[/fd/56/fd56e5bbb145b629cd31b553f8bddb999d4e9a2b.jpg],origin[dam],category[men_underwearloungewear_underwear],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",socks,H&M
Jacquard-knit Socks,men,$4.99,N/A,Black/avocados||Dark turquoise/flamingos||Gray melange/Chili||Dark gray/Avocados,https://www2.hm.com/en_ca/productpage.0701134036.html,"https://lp2.hm.com/hmgoepprod?set=source[/45/5e/455e2d7b18e0da9d25e7eee90071950e3a1113c6.jpg],origin[dam],category[men_socks],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",socks,H&M
Jacquard-knit Socks,men,$4.99,N/A,Red/avocados||Black/avocados||Dark turquoise/flamingos||Gray melange/Chili,https://www2.hm.com/en_ca/productpage.0701134051.html,"https://lp2.hm.com/hmgoepprod?set=source[/d5/2e/d52e10964f062808a487059ef6b7ba2660c058bb.jpg],origin[dam],category[men_socks],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",socks,H&M
Bamboo-blend Socks,men,$5.99,N/A,Dark blue/plaid||Dark gray melange/dotted||Navy blue/patterned,https://www2.hm.com/en_ca/productpage.0896685005.html,"https://lp2.hm.com/hmgoepprod?set=source[/d2/83/d2832e996ef446f160c10078a1643246ff4a98df.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",socks,H&M
Patterned Socks,men,$4.99,N/A,Black/white checked||Blue/Eggs||Black/Spaceship||Dark green/egg,https://www2.hm.com/en_ca/productpage.0783707167.html,"https://lp2.hm.com/hmgoepprod?set=source[/76/6c/766cb3ec4126d2a1879f226ac9956854e7f4c8cf.jpg],origin[dam],category[men_socks],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",socks,H&M
